exercise_name,muscle_groups,match_score,Muscle_Group,Anterior_Posterior,Push_Pull_Legs
Lateral Raise (Cable),side delt,100,side delt,anterior,push
Lateral Raise (Dumbbell),side delt,100,side delt,anterior,push
Overhead Press (Barbell),"front delt, triceps",100,front delt,anterior,push
Overhead Press (Barbell),"front delt, triceps",100,triceps,anterior,push
Bench Press (Barbell),"chest, front delt, triceps",100,chest,anterior,push
Bench Press (Barbell),"chest, front delt, triceps",100,front delt,anterior,push
Bench Press (Barbell),"chest, front delt, triceps",100,triceps,anterior,push
Bench Press (Cable),"chest, front delt, triceps",100,chest,anterior,push
Bench Press (Cable),"chest, front delt, triceps",100,front delt,anterior,push
Bench Press (Cable),"chest, front delt, triceps",100,triceps,anterior,push
Triceps Dip (Assisted),triceps,100,triceps,anterior,push
Leg Press,"quads, glutes",100,quads,Unclear,legs
Leg Press,"quads, glutes",100,glutes,Unclear,legs
Seated Row (Cable),"lats, rear delt, biceps",100,lats,posterior,pull
Seated Row (Cable),"lats, rear delt, biceps",100,rear delt,posterior,pull
Seated Row (Cable),"lats, rear delt, biceps",100,biceps,posterior,pull
Standing Calf Raise (Smith Machine),calves,100,calves,anterior,legs
Seated Calf Raise (Machine),calves,100,calves,anterior,legs
Squat (Barbell),"quads, glutes",100,quads,Unclear,legs
Squat (Barbell),"quads, glutes",100,glutes,Unclear,legs
Stiff Leg Deadlift (Barbell),"hamstrings, lower back",100,hamstrings,posterior,Unclear
Stiff Leg Deadlift (Barbell),"hamstrings, lower back",100,lower back,posterior,Unclear
Lying Leg Curl (Machine),hamstrings,100,hamstrings,posterior,legs
Face Pull (Cable),"rear delt, side delt, traps, rhomboids",100,rear delt,posterior,pull
Face Pull (Cable),"rear delt, side delt, traps, rhomboids",100,side delt,posterior,pull
Face Pull (Cable),"rear delt, side delt, traps, rhomboids",100,,posterior,pull
Face Pull (Cable),"rear delt, side delt, traps, rhomboids",100,rhomboids,posterior,pull
Bicep Curl (Dumbbell),"biceps, forearms",100,biceps,posterior,pull
Bicep Curl (Dumbbell),"biceps, forearms",100,forearms,posterior,pull
Bent Over Row - Underhand (Barbell),"lats, biceps, rear delt, lower back",100,lats,posterior,pull
Bent Over Row - Underhand (Barbell),"lats, biceps, rear delt, lower back",100,biceps,posterior,pull
Bent Over Row - Underhand (Barbell),"lats, biceps, rear delt, lower back",100,rear delt,posterior,pull
Bent Over Row - Underhand (Barbell),"lats, biceps, rear delt, lower back",100,lower back,posterior,pull
Preacher Curl (Machine),biceps,100,biceps,posterior,pull
Lat Pulldown - Wide Grip (Cable),"lats, biceps, rear delt",100,lats,posterior,pull
Lat Pulldown - Wide Grip (Cable),"lats, biceps, rear delt",100,biceps,posterior,pull
Lat Pulldown - Wide Grip (Cable),"lats, biceps, rear delt",100,rear delt,posterior,pull
Shoulder Press (Machine),"front delt, side delt, triceps",100,front delt,anterior,push
Shoulder Press (Machine),"front delt, side delt, triceps",100,side delt,anterior,push
Shoulder Press (Machine),"front delt, side delt, triceps",100,triceps,anterior,push
Seated Leg Curl (Machine),hamstrings,100,hamstrings,posterior,legs
Hip Adductor (Machine),adductors,100,adductors,anterior,legs
Seated Leg Press (Machine),"quads, glutes",100,quads,Unclear,legs
Seated Leg Press (Machine),"quads, glutes",100,glutes,Unclear,legs
Triceps Extension (Cable),triceps,100,triceps,anterior,push
Bicep Curl (Machine),biceps,100,biceps,posterior,pull
Cable Crossover,"chest, front delt",100,chest,anterior,push
Cable Crossover,"chest, front delt",100,front delt,anterior,push
Hip Abductor (Machine),abductors,100,abductors,posterior,legs
Lat Pulldown (Machine),"lats, biceps",100,lats,posterior,pull
Lat Pulldown (Machine),"lats, biceps",100,biceps,posterior,pull
Iso-Lateral Row (Machine),"lats, biceps",100,lats,posterior,pull
Iso-Lateral Row (Machine),"lats, biceps",100,biceps,posterior,pull
Glute Kickback (Machine),glutes,100,glutes,posterior,legs
Iso-Lateral Chest Press (Machine),"chest, front delt, triceps",100,chest,anterior,push
Iso-Lateral Chest Press (Machine),"chest, front delt, triceps",100,front delt,anterior,push
Iso-Lateral Chest Press (Machine),"chest, front delt, triceps",100,triceps,anterior,push
Reverse Fly (Machine),rear delt,100,rear delt,posterior,pull
Bicep Curl (Barbell),biceps,100,biceps,posterior,pull
Bench Press - Close Grip (Barbell),"chest, triceps, front delt",100,chest,anterior,push
Bench Press - Close Grip (Barbell),"chest, triceps, front delt",100,triceps,anterior,push
Bench Press - Close Grip (Barbell),"chest, triceps, front delt",100,front delt,anterior,push
Bicep Curl (Cable),biceps,100,biceps,posterior,pull
Bench Press (Dumbbell),"chest, triceps, front delt",100,chest,anterior,push
Bench Press (Dumbbell),"chest, triceps, front delt",100,triceps,anterior,push
Bench Press (Dumbbell),"chest, triceps, front delt",100,front delt,anterior,push
Triceps Extension,triceps,100,triceps,anterior,push
Seated Overhead Press (Dumbbell),front delt,100,front delt,anterior,push
Reverse Fly (Cable),rear delt,100,rear delt,posterior,pull
Decline Bench Press (Barbell),"chest, triceps, front delt",100,chest,anterior,push
Decline Bench Press (Barbell),"chest, triceps, front delt",100,triceps,anterior,push
Decline Bench Press (Barbell),"chest, triceps, front delt",100,front delt,anterior,push
Overhead Press (Dumbbell),front delt,100,front delt,anterior,push
Incline Bench Press (Barbell),"chest, front delt, triceps",100,chest,anterior,push
Incline Bench Press (Barbell),"chest, front delt, triceps",100,front delt,anterior,push
Incline Bench Press (Barbell),"chest, front delt, triceps",100,triceps,anterior,push
Chest Press (Machine),"chest, front delt, triceps",100,chest,anterior,push
Chest Press (Machine),"chest, front delt, triceps",100,front delt,anterior,push
Chest Press (Machine),"chest, front delt, triceps",100,triceps,anterior,push
Chest Fly,"chest, front delt",100,chest,anterior,push
Chest Fly,"chest, front delt",100,front delt,anterior,push
Trap Bar Deadlift,"lower back, glutes, quads, forearms",100,lower back,posterior,Unclear
Trap Bar Deadlift,"lower back, glutes, quads, forearms",100,glutes,posterior,Unclear
Trap Bar Deadlift,"lower back, glutes, quads, forearms",100,quads,posterior,Unclear
Trap Bar Deadlift,"lower back, glutes, quads, forearms",100,forearms,posterior,Unclear
Seated Row (Machine),"lats, rear delt, biceps, forearms",100,lats,posterior,pull
Seated Row (Machine),"lats, rear delt, biceps, forearms",100,rear delt,posterior,pull
Seated Row (Machine),"lats, rear delt, biceps, forearms",100,biceps,posterior,pull
Seated Row (Machine),"lats, rear delt, biceps, forearms",100,forearms,posterior,pull
Lat Pulldown (Cable),"lats, biceps, forearms",100,lats,posterior,pull
Lat Pulldown (Cable),"lats, biceps, forearms",100,biceps,posterior,pull
Lat Pulldown (Cable),"lats, biceps, forearms",100,forearms,posterior,pull
Hack Squat,"quads, glutes",100,quads,Unclear,legs
Hack Squat,"quads, glutes",100,glutes,Unclear,legs
Incline Bench Press (Dumbbell),"chest, front delt, triceps",100,chest,anterior,push
Incline Bench Press (Dumbbell),"chest, front delt, triceps",100,front delt,anterior,push
Incline Bench Press (Dumbbell),"chest, front delt, triceps",100,triceps,anterior,push
Leg Extension (Machine),quads,100,quads,anterior,legs
Seated Calf Raise (Plate Loaded),calves,100,calves,anterior,legs
Preacher Curl (Dumbbell),biceps,100,biceps,posterior,pull
Bent Over Row (Barbell),"lats, rhomboids, lower back",100,lats,posterior,pull
Bent Over Row (Barbell),"lats, rhomboids, lower back",100,rhomboids,posterior,pull
Bent Over Row (Barbell),"lats, rhomboids, lower back",100,lower back,posterior,pull
Seated Wide-Grip Row (Cable),"lats, rhomboids",100,lats,posterior,pull
Seated Wide-Grip Row (Cable),"lats, rhomboids",100,rhomboids,posterior,pull
Preacher Curl (Barbell),biceps,100,biceps,posterior,pull
Lat Pulldown (Single Arm),"lats, rhomboids",100,lats,posterior,pull
Lat Pulldown (Single Arm),"lats, rhomboids",100,rhomboids,posterior,pull
Sumo Deadlift (Barbell),"quads, glutes, lower back",100,quads,posterior,legs
Sumo Deadlift (Barbell),"quads, glutes, lower back",100,glutes,posterior,legs
Sumo Deadlift (Barbell),"quads, glutes, lower back",100,lower back,posterior,legs
Squat (Smith Machine),"quads, glutes",100,quads,Unclear,legs
Squat (Smith Machine),"quads, glutes",100,glutes,Unclear,legs
Bent Over One Arm Row (Dumbbell),"lats, rhomboids, lower back",100,lats,posterior,pull
Bent Over One Arm Row (Dumbbell),"lats, rhomboids, lower back",100,rhomboids,posterior,pull
Bent Over One Arm Row (Dumbbell),"lats, rhomboids, lower back",100,lower back,posterior,pull
Bench Press (Smith Machine),"chest, front delt, triceps",100,chest,anterior,push
Bench Press (Smith Machine),"chest, front delt, triceps",100,front delt,anterior,push
Bench Press (Smith Machine),"chest, front delt, triceps",100,triceps,anterior,push
Triceps Pushdown (Cable - Straight Bar),triceps,100,triceps,anterior,push
Decline Bench Press (Dumbbell),"chest, front delt, triceps",100,chest,anterior,push
Decline Bench Press (Dumbbell),"chest, front delt, triceps",100,front delt,anterior,push
Decline Bench Press (Dumbbell),"chest, front delt, triceps",100,triceps,anterior,push
Bent Over Row (Dumbbell),"lats, rear delt, biceps, forearms",100,lats,posterior,pull
Bent Over Row (Dumbbell),"lats, rear delt, biceps, forearms",100,rear delt,posterior,pull
Bent Over Row (Dumbbell),"lats, rear delt, biceps, forearms",100,biceps,posterior,pull
Bent Over Row (Dumbbell),"lats, rear delt, biceps, forearms",100,forearms,posterior,pull
Reverse Fly (Dumbbell),"rear delt, rhomboids",100,rear delt,posterior,pull
Reverse Fly (Dumbbell),"rear delt, rhomboids",100,rhomboids,posterior,pull
Triceps Extension (Dumbbell),triceps,100,triceps,anterior,push
Tricep kickback,triceps,100,triceps,anterior,push
Concentration Curl (Dumbbell),biceps,100,biceps,posterior,pull
Incline Curl (Dumbbell),biceps,100,biceps,posterior,pull
W raise,"front delt, side delt",100,front delt,anterior,push
W raise,"front delt, side delt",100,side delt,anterior,push
Deadlift (Dumbbell),"lower back, glutes, quads, hamstrings, forearms",100,lower back,posterior,legs
Deadlift (Dumbbell),"lower back, glutes, quads, hamstrings, forearms",100,glutes,posterior,legs
Deadlift (Dumbbell),"lower back, glutes, quads, hamstrings, forearms",100,quads,posterior,legs
Deadlift (Dumbbell),"lower back, glutes, quads, hamstrings, forearms",100,hamstrings,posterior,legs
Deadlift (Dumbbell),"lower back, glutes, quads, hamstrings, forearms",100,forearms,posterior,legs
Lateral Raise (Machine),side delt,100,side delt,anterior,push
Calf Press on Seated Leg Press,"calves, quads, glutes",100,calves,anterior,legs
Calf Press on Seated Leg Press,"calves, quads, glutes",100,quads,anterior,legs
Calf Press on Seated Leg Press,"calves, quads, glutes",100,glutes,anterior,legs
Triceps Extension (Machine),triceps,100,triceps,anterior,push
Deadlift (Barbell),"lower back, glutes, quads, hamstrings, forearms",100,lower back,posterior,legs
Deadlift (Barbell),"lower back, glutes, quads, hamstrings, forearms",100,glutes,posterior,legs
Deadlift (Barbell),"lower back, glutes, quads, hamstrings, forearms",100,quads,posterior,legs
Deadlift (Barbell),"lower back, glutes, quads, hamstrings, forearms",100,hamstrings,posterior,legs
Deadlift (Barbell),"lower back, glutes, quads, hamstrings, forearms",100,forearms,posterior,legs
Wide Pull Up,"lats, biceps, forearms",100,lats,posterior,pull
Wide Pull Up,"lats, biceps, forearms",100,biceps,posterior,pull
Wide Pull Up,"lats, biceps, forearms",100,forearms,posterior,pull
Incline Chest Press (Machine),"chest, front delt, triceps",100,chest,anterior,push
Incline Chest Press (Machine),"chest, front delt, triceps",100,front delt,anterior,push
Incline Chest Press (Machine),"chest, front delt, triceps",100,triceps,anterior,push
Squat (Machine),"quads, glutes",100,quads,Unclear,legs
Squat (Machine),"quads, glutes",100,glutes,Unclear,legs
Lat Pulldown - Underhand (Cable),"lats, biceps, forearms",100,lats,posterior,pull
Lat Pulldown - Underhand (Cable),"lats, biceps, forearms",100,biceps,posterior,pull
Lat Pulldown - Underhand (Cable),"lats, biceps, forearms",100,forearms,posterior,pull
Calf Press on Leg Press,"calves, quads, glutes",100,calves,anterior,legs
Calf Press on Leg Press,"calves, quads, glutes",100,quads,anterior,legs
Calf Press on Leg Press,"calves, quads, glutes",100,glutes,anterior,legs
Back Extension,"lower back, glutes, hamstrings",100,lower back,posterior,legs
Back Extension,"lower back, glutes, hamstrings",100,glutes,posterior,legs
Back Extension,"lower back, glutes, hamstrings",100,hamstrings,posterior,legs
Shoulder Press (Plate Loaded),"front delt, side delt, triceps",100,front delt,anterior,push
Shoulder Press (Plate Loaded),"front delt, side delt, triceps",100,side delt,anterior,push
Shoulder Press (Plate Loaded),"front delt, side delt, triceps",100,triceps,anterior,push
Chin Up,"lats, biceps, forearms",100,lats,posterior,pull
Chin Up,"lats, biceps, forearms",100,biceps,posterior,pull
Chin Up,"lats, biceps, forearms",100,forearms,posterior,pull
Press Up,"chest, front delt, triceps, abs",100,chest,anterior,push
Press Up,"chest, front delt, triceps, abs",100,front delt,anterior,push
Press Up,"chest, front delt, triceps, abs",100,triceps,anterior,push
Press Up,"chest, front delt, triceps, abs",100,abs,anterior,push
Rack Pull (Barbell),"lower back, glutes, hamstrings",100,lower back,posterior,legs
Rack Pull (Barbell),"lower back, glutes, hamstrings",100,glutes,posterior,legs
Rack Pull (Barbell),"lower back, glutes, hamstrings",100,hamstrings,posterior,legs
Rack Overhead Press,"front delt, triceps",100,front delt,anterior,push
Rack Overhead Press,"front delt, triceps",100,triceps,anterior,push
Rack Bench Press,"chest, front delt, triceps",100,chest,anterior,push
Rack Bench Press,"chest, front delt, triceps",100,front delt,anterior,push
Rack Bench Press,"chest, front delt, triceps",100,triceps,anterior,push
Pull Up,"lats, biceps, forearms",100,lats,posterior,pull
Pull Up,"lats, biceps, forearms",100,biceps,posterior,pull
Pull Up,"lats, biceps, forearms",100,forearms,posterior,pull
Triceps Dip,"triceps, chest",100,triceps,anterior,push
Triceps Dip,"triceps, chest",100,chest,anterior,push
High Row,"lats, rear delt, biceps",100,lats,posterior,pull
High Row,"lats, rear delt, biceps",100,rear delt,posterior,pull
High Row,"lats, rear delt, biceps",100,biceps,posterior,pull
Front Lat Pulldown,"lats, biceps, forearms",100,lats,posterior,pull
